filename,ATTRIBUTE_Tray,ATTRIBUTE_Injection_Order,ATTRIBUTE_Date_Collected,ATTRIBUTE_Site,ATTRIBUTE_Bottle_Number,ATTRIBUTE_Sample_Device,ATTRIBUTE_mL_filtered,ATTRIBUTE_HPLC_number,ATTRIBUTE_Meter,ATTRIBUTE_Quad,ATTRIBUTE_Replicate,ATTRIBUTE_Sample_Type,ATTRIBUTE_Month,ATTRIBUTE_Season,ATTRIBUTE_Phase_State,ATTRIBUTE_Functional_Group,ATTRIBUTE_Color,ATTRIBUTE_Species,ATTRIBUTE_Tissue_Study
Tray_3_P_113.mzML,Tray3,122,6_16_2022,Little_Drisko,Blank,Blank,1000,P_113,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_3_P_126.mzML,Tray3,123,6_15_2022,Crumple,Blank,Blank,1000,P_126,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_3_P_133.mzML,Tray3,124,6_29_2022,Metinic_Allen,Blank,Blank,300,P_133,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_3_P_137.mzML,Tray3,125,7_7_2022,Damariscove_Island,Blank,Blank,300,P_137,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_3_P_141.mzML,Tray3,126,7_14_2022,Halfway_Rock,Blank,Blank,300,P_141,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_3_P_148.mzML,Tray3,127,7_27_2022,Metinic_Allen,Blank,Blank,300,P_148,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_4_P_161.mzML,Tray4,185,8_16_2022,Halfway_Rock,Blank,Blank,1000,P_161,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_4_P_174.mzML,Tray4,186,8_19_2022,Damariscove_Island,Blank,Blank,1000,P_174,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_4_P_187.mzML,Tray4,187,8_22_2022,Allen_Island,Blank,Blank,1000,P_187,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_4_P_200.mzML,Tray4,188,8_28_2022,Ram_Island,Blank,Blank,1000,P_200,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_5_P_213.mzML,Tray5,294,8_29_2022,Crumple,Blank,Blank,1000,P_213,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_5_P_226.mzML,Tray5,299,9_1_2022,Little_Drisko,Blank,Blank,1000,P_226,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_5_P_239.mzML,Tray5,291,9_8_2022,Isle_Au_Haute,Blank,Blank,1000,P_239,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_5_P_243.mzML,Tray5,261,9_13_2022,Damariscove_Island,Blank,Blank,300,P_243,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_5_P_247.mzML,Tray5,283,9_16_2022,Halfway_Rock,Blank,Blank,300,P_247,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray_5_P_252.mzML,Tray5,279,8_25_2022,Metinic_Island,Blank,Blank,300,P_252,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_12.mzML,Tray1,25,3_11_2022,Halfway_Cape_Small,Blank,Blank,300,P_12,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_16.mzML,Tray1,61,3_19_2022,Damariscove_Island,Blank,Blank,300,P_16,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_20.mzML,Tray1,14,4_13_2022,Metinic_Island,Blank,blank,300,P_20,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_33.mzML,Tray1,54,4_18_2022,Halfway_Rock,Blank,Blank,700,P_33,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_37.mzML,Tray1,16,4_25_2022,Allen_Island,Blank,Blank,300,P_37,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_41.mzML,Tray1,10,4_27_2022,Damariscove_Island,Blank,Blank,300,P_41,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_45.mzML,Tray1,39,5_16_2022,Metinic_Island,Blank,Blank,300,P_45,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray1_P_6.mzML,Tray1,50,3_10_2022,Metinic_Allen,Blank,Blank,300,P_6,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray2_P_100.mzML,Tray2,101,6_14_2022,Ram_Island,Blank,Blank,1000,P_100,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray2_P_58.mzML,Tray2,113,5_19_2022,Halfway_Rock,Blank,Blank,1000,P_58,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray2_P_70.mzML,Tray2,67,5_24_2022,Allen_Island,Blank,Blank,1000,P_70,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray2_P_83.mzML,Tray2,100,6_2_2022,Damariscove_Island,Blank,Blank,1000,P_83,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
Tray2_P_87.mzML,Tray2,107,6_6_2022,Halfway_Rock,Blank,Blank,300,P_87,Blank,Blank,Blank,Blank,Blank,Blank,Blank,NA,NA,NA,Blank
24.mzML,NA,NA,6_2_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,June,Early_Season,Turf,Kelp,Brown,Sacchrina_latissima,Core_T
249E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Blade,Red,Chondrus_crispus,Core_T
24E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
25.mzML,NA,NA,5_19_2022,Halfway_Rock,NA,NA,NA,NA,NA,NA,NA,Tissue,May,Early_Season,Turf,Kelp,Brown,Alaria_esculenta,Core_T
258E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
259E.mzML,NA,NA,9_13_2022,Damariscove_Island,NA,NA,NA,NA,NA,NA,NA,Tissue,September,NA,NA,Red_Filament,Red,Dasysiponia_japonica,Core_T
25E.mzML,NA,NA,5_16_2022,Metinic,NA,NA,NA,NA,NA,NA,NA,Tissue,May,NA,NA,Kelp,Brown,Laminaria_digitata,Core_T
